"correlationLowerBound","correlationUpperBound","correlation","correlationPear","distance","upToAirQuality","valueToUse","samples","latitudeStart"
0.0469273682705434,0.116009449471159,0.0804212947175057,0.0263798014973003,12000,56,"aqi",3143,37.7583355
0.0469012710718708,0.100897458564343,0.0741081374711042,0.0191157722227134,16000,50,"pm2_5",5041,36.6163024
0.0466940038648929,0.10160822199254,0.0745399636174038,0.0186621009333144,16000,28,"pm2_5",5032,36.6163024
0.0466027163589435,0.106213588952419,0.0776423480736581,0.0246389353481919,14000,16,"pm2_5",4307,36.6163024
0.0465040205614361,0.106670623742186,0.0768697448219733,0.0240789233933878,14000,18,"pm2_5",4358,36.6163024
0.04638739162976,0.100117199767104,0.0734392184988539,0.0217483536875365,16000,24,"pm2_5",5022,36.6163024
0.0460745746316002,0.100417645611282,0.0740748564896892,0.0199211531960224,16000,48,"pm2_5",5040,36.6163024
0.0457300839442891,0.101201346229427,0.0728524680021116,0.022119123549348,16000,60,"aqi",4899,36.6163024
0.0457165525343876,0.187894429536359,0.117379674266085,0.0374416828935199,6000,48,"aqi",767,40.22787247
0.0454861491120225,0.104563213369206,0.0756701914870607,0.0276837992863546,14000,58,"aqi",4278,36.6163024
0.0453578354147395,0.100748996875199,0.073079820314,0.0240252530868469,16000,22,"pm2_5",5013,36.6163024
0.0449500715818828,0.0947164285922449,0.068818848241756,0.0152581373526329,18000,30,"pm2_5",6026,35.79115496
0.0439567644049632,0.093804344327107,0.0684489956905582,0.0141700563582016,18000,34,"pm2_5",6029,35.79115496
0.0436442672845587,0.0927743303359959,0.0681609041330274,0.0137406537846388,18000,38,"pm2_5",6030,35.79115496
0.0432960738406565,0.0998728719037463,0.0718525060694944,0.0213742766121553,16000,16,"pm2_5",4897,36.6163024
0.0431790073721402,0.0983133579658012,0.0712572900507576,0.0203749454427519,16000,20,"pm2_5",4985,36.6163024
0.0429824336026034,0.0930761036837634,0.0679070355942024,0.012564594179674,18000,50,"pm2_5",6032,35.79115496
0.042868637868578,0.0986402710298612,0.0718150655924456,0.0206730425311611,16000,18,"pm2_5",4952,36.6163024
0.0427557948881984,0.0925984913923134,0.0678729815113213,0.0131558628270576,18000,48,"pm2_5",6031,35.79115496
0.0426685623980903,0.0990344881595017,0.0702442304974915,0.0242404125642908,16000,58,"aqi",4867,36.6163024
0.0425344924588191,0.0919968613274363,0.0677796233032779,0.0124121003995488,18000,28,"pm2_5",6021,35.79115496
0.0425323005279875,0.112035470455909,0.0778030122041475,0.0262620970436648,12000,14,"pm2_5",3129,37.7583355
0.0423393564741315,0.188711502163092,0.114632387962948,0.056459908228971,6000,44,"aqi",737,40.22787247
0.0423229417684188,0.0924608203746022,0.0675479945977463,0.0134329902548656,18000,26,"pm2_5",6017,35.79115496
0.0418984109451738,0.154707182906647,0.0963706524260522,0.0637914633853598,8000,54,"aqi",1132,40.22787247
0.0418515787434778,0.092032252094832,0.0664574303800818,0.0182831553515128,18000,22,"pm2_5",5993,35.79115496
0.0415059548554026,0.0923633619832677,0.0669901340728548,0.0153078165591443,18000,24,"pm2_5",6008,35.79115496
0.041500075342541,0.187915810448939,0.114701822829041,0.0448853352898536,6000,46,"aqi",757,40.22787247
0.0414530278329903,0.0881057679166482,0.0650282550760882,0.0148150154493899,20000,34,"pm2_5",6604,35.79115496
0.0412089497945676,0.0879091622277,0.0646230596664708,0.0134543830405876,20000,28,"pm2_5",6595,35.79115496
0.0410942757405452,0.088440732084393,0.0645136410009547,0.0138819125471301,20000,48,"pm2_5",6606,35.79115496
0.0410403009016273,0.0886585552517266,0.0645531619448081,0.0133360182080071,20000,50,"pm2_5",6607,35.79115496
0.0408621748802269,0.0902868821351391,0.0652175501367139,0.0161903561809672,18000,18,"pm2_5",5925,35.79115496
0.0406168298932508,0.0896098336216688,0.0653503986573342,0.0158113175550143,20000,30,"pm2_5",6601,35.79115496
0.0405535641870492,0.0875977381051011,0.064384955155022,0.0143915822966398,20000,26,"pm2_5",6591,35.79115496
0.0402991287070497,0.0897275676018327,0.0650198011645963,0.0192523608658987,18000,60,"aqi",5859,35.79115496
0.0402961077925369,0.0883774416139789,0.064770879400691,0.0144207161682257,20000,38,"pm2_5",6605,35.79115496
0.0397808000543392,0.0877467162620397,0.0640823588440264,0.0163529502309886,20000,24,"pm2_5",6581,35.79115496
0.0396787205700182,0.107918328808573,0.0725246125579576,0.0274483515492499,12000,54,"aqi",3090,37.7583355
0.0396132526577698,0.111742990578081,0.0732013143064247,0.0283220469818261,12000,52,"aqi",3009,37.7583355
0.03960429082578,0.0868458070805416,0.0630666681997552,0.0194835234830695,20000,22,"pm2_5",6563,35.79115496
0.0392927007310846,0.0884218521829749,0.064721626282147,0.0158792483657489,18000,20,"pm2_5",5960,35.79115496
0.0392569121486439,0.0983302892571509,0.0687065417924827,0.0303064988333019,14000,56,"aqi",4237,36.6163024
0.0389669115869703,0.120477716728292,0.0782638740681945,0.0309382440782877,10000,56,"aqi",2157,38.02080697
0.0386747015448562,0.0884295806337193,0.0639797983038,0.0182724326255126,18000,16,"pm2_5",5857,35.79115496
0.0375226957738608,0.0856928303553958,0.0612801837748467,0.016504550524731,20000,18,"pm2_5",6487,35.79115496
0.0371801787176429,0.103314621982636,0.0691965576131695,0.0320340252096666,14000,38,"aqi",3395,36.6163024
0.0370520886388712,0.110783116915774,0.0746374993084331,0.0149516172983531,12000,46,"aqi",2875,37.7583355
0.0370234033024596,0.0883519761053153,0.0625723663360341,0.0217082724577666,18000,58,"aqi",5820,35.79115496
