"LatCase","LongCase","LatAir","LongAir","distance"
46.23946995,-119.5120834,46.38024,-120.33266,65014.5313040488
46.25319932,-105.5737526,46.411389,-105.812778,25448.7208422698
46.26302338,-90.24295041,46.60234,-90.65615,49312.6607612293
46.26440649,-96.94852979,46.933754,-96.85535,74851.487773736
46.28398398,-100.2389766,46.825425,-100.76821,72622.7420219577
46.2918004,-123.4250831,45.528501,-122.972398,91919.6223074205
46.29442881,-117.9051983,47.316577,-116.571281,152564.732139376
46.29552653,-84.54353449,46.288877,-85.950227,108203.380784124
46.31956891,-90.67837132,46.60234,-90.65615,31524.020070144
46.32638236,-116.7500975,47.316577,-116.571281,111066.26313955
46.33277565,-111.4955813,46.658762,-112.013089,53755.1974730039
46.33478338,-104.4183565,46.8943,-103.37853,101000.657580854
46.35721532,-96.4684375,46.933754,-96.85535,70663.5771317584
46.35821257,-101.6390013,46.825425,-100.76821,84511.7995273653
46.3816474,-109.1768522,47.048537,-109.455315,77220.0223772446
46.4060522,-113.4414186,46.243621,-114.158889,58042.7213429733
46.40846929,-95.70835255,46.851811,-95.846272,50466.1308936888
46.40862701,-89.69377193,46.0519,-89.654,39828.5983125224
46.41292944,-86.60260122,46.288877,-85.950227,51993.8072709335
46.43197502,-117.5454032,47.316577,-116.571281,123254.05732536
46.43222285,-91.91595768,46.743657,-92.165998,39595.816177689
46.43375068,-102.4632417,46.8943,-103.37853,86704.3318832494
46.4338914,-87.64043701,46.288877,-85.950227,130843.03903162
46.44737738,-103.4601547,46.8943,-103.37853,50140.3638957573
46.45621782,-97.65742504,46.933754,-96.85535,81093.1955154278
46.45681054,-98.53542355,45.468596,-98.494061,110054.086747295
46.45729487,-99.47719806,46.825425,-100.76821,106839.222087
46.45738486,-120.7380126,46.598056,-120.499167,24079.9081995143
46.46652491,-109.8464636,47.048537,-109.455315,71326.4924755625
46.47227431,-85.54471223,46.288877,-85.950227,37237.0651591291
46.48096553,-94.06755609,46.39674,-94.1303,10539.2666807451
46.49684637,-108.39498,45.806311,-108.425978,76907.2037369947
46.52868768,-91.19716729,46.60234,-90.65615,42210.5440637223
46.53351425,-118.9018212,46.38024,-120.33266,111045.247106375
46.55418369,-123.7285716,47.1864,-122.4517,119980.726811383
46.57756476,-122.3925769,47.1864,-122.4517,67924.3508256917
46.58589171,-94.96968506,46.39674,-94.1303,67688.0263534933
46.59180601,-92.67601019,46.713694,-92.511722,18485.0108367611
46.59907074,-110.8898557,46.658762,-112.013089,86122.002443395
46.60962049,-93.4116826,46.39674,-94.1303,59945.1710505164
46.65926321,-68.59841248,46.698422,-68.038403,42992.1181112144
46.6652262,-89.31390481,46.0519,-89.654,73103.7313076019
46.6720582,-88.36363591,46.0519,-89.654,120795.770365596
